Column1,Reviews,P or N
0,헤라 잘 먹고 씩씩해요.피부가 깨끗해요.헤라 자동 간식통에도 넣어 줬는데 헤라 짱 좋아해요.,99.44% 확률로 긍정 리뷰입니다.
1,잘 먹고 건강해요.피부도 깨끗 하고요.털도 좋아요.,98.67% 확률로 긍정 리뷰입니다.
2,"요거 처음 먹이는데 너무너무 좋아요~~~^_^아픈 아이이기도 하고 알러지 , 습진, 피부 문제가 많고 몸에서 냄새도 좀 심한편인데신기하게 요거 먹인지 일주일인것 같은데몸에서 냄새가 안나요!!눈물도 확 줄었어요!! 아주아주 좋네요!!응가도 너무 부드럽게 잘 싸구 냄새도 괜찮아요!정말 좋다는거랑 비싼거 먹여봤지만이 사료가 제일 만족도 높도 이제 정착하려구요!물론 우리 강아지 입맛에도 너무 잘 맞아해서요 ㅎ 진짜 비싸고 비싼사료 후기들 보면 강아지들이더 달라고 덤빈다고 하는데 저희 강아지 입엔정말 별로인 사료도 많았는데전엔 네츄럴 코어 연어나 오리 먹여봤는데이 베지테리언을 제일 잘 먹고 먹는 모습이 너무 예쁘고.. 알갱이 크기도 너무 작지 않아서오독 오독 씹기도 하구요 !!이제 정착템 찾았어요!!펫프 배송도 너무 빨라요 !제주도지만 주문 당일부터 이틀 걸린것 같아요!최고!!!",98.55% 확률로 긍정 리뷰입니다.
3,우리둘째가 태어나서부터 눈물이 많았어요~정말 눈에좋다는 사료를 끊임없이 바꿔가며 급여했는데..냄새만좋아질뿐 눈물은여전하더라구요..지인추천받아서 내츄럴코어베지테리언으로 바로구매하고 아침급여를했는데..오독오독 아주잘먹네요~큰애는 다욧때문에~~근데급여량이 기존에주던사료량양이 엄청많더라구요..푸짐한식사를했습니다..기호성이떨어진단얘기가있었지만..아주 자~알 먹네요눈물이 제발 안나길 바래봅니다,98.64% 확률로 긍정 리뷰입니다.
4,진돗개헤라가 잘 먹고 털도 피부도 윤기 나고 건강해요.,98.17% 확률로 긍정 리뷰입니다.
5,이거 진짜 잘먹어요!!! 그래서 대용량으오 샀어요!! 강쥐가 단백뇨 증상이 조금 있늠데 이거 먹고 좋아진다는 후기를 봤어요 열심히 먹잉라구용,99.25% 확률로 긍정 리뷰입니다.
6,왼쪽이 애코10베지테리언 오른쪽이 에코4유기농 뭐 색만차이나네요 울개는 둘다잘먹네유,60.02% 확률로 긍정 리뷰입니다.
7,"이번이 두번째 구매에요 : -)아무리 비싼 사료도 저희 강아지는 No를 외쳤죠!그리고 피부병과 식이알러지를 하이퍼 알러젠사료도 그닥 잡기 힘들었는데요,저희 강아지가 채소..(브로콜리, 당근, 호박..등) 를좋아해서 네츄럴 코어에 베지테리언 사료가있길래 저번에 처음 구매 해봤습니다.용량도 6kg 너무너무 좋구요,무엇보다 사료를 만져봤을 때 기름기가 없어요!저희 강아지가 너무너무 잘 먹기도 하고전엔 아침 저녁 챙겨먹는걸 본 적이 없는데큰 그릇에 가득 채워 놓으면 오전에도 먹고 저녁에도 먹고 새벽에도 먹고 그래요.잘먹는게 너무너무 예뻐서 감동적이고이 사료 아마 정착템이 될 것 같아요!물론 육류 사료도 먹이고 싶지만아이의 특이 사항과 특별한 입맛 때문선택했지만 방황하던 저희 아이 취향에딱 맞는 사료를 발견하여 행복합니다.저번에도 리뷰 했지만 이번엔 바뀐 펫프 택배 박스가 감동적이라 사진 남겨보아요!아! 그리구 생일 할인으로 저렴하게 구매하기도 했고 택배가 큰 뽁뽁이 완충제로 안전하데도착해서 항상 시킬때 마다 기분이 좋네요!그리고 한가지! 저번 상품은 유통기한이 얼마길지 않은 상품에 사료 포대에먼지와 검정색 무언가 때가 타서 왔는데이번 포대는 깨-끗하구 제조 날짜가2021-2-23일로 되어 있어서그래서 더 좋아요 !!!!많이 파세요!!!",97.45% 확률로 긍정 리뷰입니다.
8,"피부알러지 넘 심해서 채소사료로 구이뵀어요. 채소사료라 그런지 사료냄새가 적어요. 고소한 냄새도 나는 것 같고요, 알맹이가 적당히 커서 강아지가 바작바작 씹어 먹으니 소화도 잘 될 것 같구용~ 사료 중 젤 맘에 듭니다~",95.78% 확률로 긍정 리뷰입니다.
9,생닭고기와 사료 야채를 섞여먹이는데생닭의비중이높아 사료도 베지테리언으로구매해요알갱이가 작아서 큰 리트리버인 애한테는 좀 작아 대형견보단 중소견에게 추천되지만 생고기를 화식하는 친구들에겐 좋은것같아요,98.10% 확률로 긍정 리뷰입니다.
10,사료가 떨어져서 구매하려다우연히 알게된 펫프렌즈에요.제일 저렴한데다새벽배송까지 있어서 놀랐어요.애용하겠습니다.처음 먹여보는 사료이고 전에는베네m32를 먹였는데이 사료도 정말 잘먹네요.,99.32% 확률로 긍정 리뷰입니다.
11,연어 사료 먹이다가 눈물도 걱정되서 바꿨는데응가에서도 냄새가 안나서 이 사료로 정착하려고 샀어요!샵에서 1키로 대 사료 만원 넘게주고샀는데6키로에 사만원 대라니 개이득 입니다 !,99.14% 확률로 긍정 리뷰입니다.
12,제형?겉 표면이 좀 달라졌는뎅 기분 탓인지..유난히 네추럴코어가 사료 색도 그렇고 오락가락한듯다이어트할때 이제품이 딱이라 주문햇어요유총기한 낭낭해요,85.62% 확률로 부정 리뷰입니다.
13,여기가 최저가 여서 이어플 깔았는데 오천원 쿠폰까지 써서 완전싸게 삿어요 이사료가 알러지도 안생기고 눈물도 안생겨요 ~ 근데 맛있진 않은가봐요 ㅋㅋ??,61.53% 확률로 긍정 리뷰입니다.
14,"첫째 둘째 다 가금류 알러지가 있어서, 디톡스도 할겸 가금류가 안 들어가는 다른 사료와 줬는데, 둘째 눈물 자국이 많이 연해졌어요 :)",83.61% 확률로 긍정 리뷰입니다.
15,저희 애가 음식 알ㄹㅓ지가 좀 많이 심해서 가려 먹이는게 많은데 이 사료는 너무 잘먹고 몸에도 잘 맞아서 다행이에요~,99.15% 확률로 긍정 리뷰입니다.
16,항상 먹던거예요 ㅎ 쿠폰 써서 싸게 삿어요 택배 완전 빨라요 ㅋㅋㅋ다먹으면 재구매하러 올게요~~,99.54% 확률로 긍정 리뷰입니다.
17,유통기한도 넉넉하고 좋네요먹이던 사료가 다 품절이라 구매해f는데잘먹었음 좋겠네요,99.17% 확률로 긍정 리뷰입니다.
18,요즘 다이어트 사료로 바꿀려고하는데뭘좋아할지 몰라서 이것저것 조금씩 사봤네요.,97.69% 확률로 긍정 리뷰입니다.
19,정말 사료계의 ASMR최고인듯요 ㅎㅎㅎ샘플 시킨것 중에 제일 잘먹어요 ㅎㅎㅎㅎ,99.63% 확률로 긍정 리뷰입니다.
20,테스트용으로 구입했는데 큰용량으로 추가구매하려구요.눈물도 안나고 너무 좋아요!,99.16% 확률로 긍정 리뷰입니다.
21,이 사료가 눈물도 안나고 알러지도 없고 제일 좋은거같아요 다른것도 먹여봤는데,95.71% 확률로 긍정 리뷰입니다.
22,여행갈때나 놀러갈때 챙겨다니기 좋아요!!! 크기도 적당해서 챙기기 딱입니다!,99.32% 확률로 긍정 리뷰입니다.
23,그나마 조금 먹다가 말아요 입맛이 너무 까다로워서 사료 먹이기 힘드네요 ㅜㅜ,96.81% 확률로 부정 리뷰입니다.
24,잘먹어요알러지가심해서 항상 사료고민이였는데육고기가없어서 너무 좋네요^^,99.43% 확률로 긍정 리뷰입니다.
25,빠른 배송에 타사 대비 젤 저렴하게 구매했어요!!넘넘 감사합니다??,99.05% 확률로 긍정 리뷰입니다.
26,너무 잘먹어요!!!근데 한봉지기준 일주일도 안되서 금방먹네요 ㅎㅎ;,98.06% 확률로 긍정 리뷰입니다.
27,아가가 항상 먹는 사료에요 좋아요~ 그리고 빠른 배송 매우 좋아요~,99.10% 확률로 긍정 리뷰입니다.
28,잘먹어요 알러지가심해서 먹기시작했는데 피부도 좋아지고 있어요^^,98.50% 확률로 긍정 리뷰입니다.
