Column1,Reviews,P or N
0,"사료샘플 두종류를 주문했는데LID 연어&현미 보다 이걸 더 좋아함.그냥 간식통에 섞어 담아서 주고 있어요.골라먹는 재미? ㅎㅎ호불호는 크기 땜시 그런거 같아요.""기존사료 로얄캐닌미니인도어퍼피""",94.11% 확률로 긍정 리뷰입니다.
1,아가용 퍼피 샘플 여러개 구매해봅니다.태어난 아가들이 곧 사료를 먹어야 할 것 같아서이것저것 구매해서 먹여보고 제일 잘 먹는걸로 구매하려구요~새끼가 네 마리라 사료도 더 신중히 고민하게 되네요ㅠㅠ,95.94% 확률로 긍정 리뷰입니다.
2,워낙먹성이좋아서 가리는건없어서 걱정은않했구요~ 깔끔하고 라이트한느낌이드는거같아요 냄새도나쁘지않고 근데 소화흡수는잘안되는지 입자그대로 나오는거같아서 살짝 우리 휴지에게는 맞지않는거같아 아쉽네요,69.99% 확률로 긍정 리뷰입니다.
3,테스트로 사본건데 잘먹어요그런데 기름기가 좀 많아 묻어나오는데 ㅠ그래도 잘먹어주니 좀더 테스트해보고 본품 사야겠어요,83.61% 확률로 긍정 리뷰입니다.
4,원래 먹던 사료로 모자라서 시켰어요! 다른 사료로 바꿔주려 합니다 ㅎㅎ 뭐가 잘 맞으려나 모르겠네용,94.96% 확률로 긍정 리뷰입니다.
5,그나마 잘 먹어서 계속 사고 있는데 이번에 또 사려니깐 품절이네요ㅠㅜㅜㅠ,74.58% 확률로 긍정 리뷰입니다.
6,나름 기호성이 좋은거같아요! 워낙 입이 짧은 아이인데 그래도 오래먹네요!,98.95% 확률로 긍정 리뷰입니다.
7,여러 샘플들중 이거 처음 뜯어봤는데 관심 보이네요. 잘 먹음 좋겠어요,98.06% 확률로 긍정 리뷰입니다.
8,빠른 배송 감사합니다. 샘플로 먹여볼수 있어서 아주 좋아요,97.77% 확률로 긍정 리뷰입니다.
9,"우리 갱얼쥐는 역시나 먹지않아요 ,, 돌아버릴거같아여",99.09% 확률로 부정 리뷰입니다.
10,잘먹다가눈물이 많이나와서 사료를 바꿀까 생각중입니다,56.65% 확률로 긍정 리뷰입니다.
11,지금 먹고있는 사료가 안맞는거 같아서 구매했어요,88.88% 확률로 긍정 리뷰입니다.
12,사료 바꾸려고 샘플로 구입해봤어요 잘 먹기를..,97.60% 확률로 긍정 리뷰입니다.
13,그나마 제일 오랫동안 먹고 있는 사료예요!,87.30% 확률로 긍정 리뷰입니다.
14,잘 먹네요 ㅎㅎ 간식으로 한알씩 줘요~^^,95.86% 확률로 긍정 리뷰입니다.
15,아이가 이거 사료 샘플먹고 장염 걸렸어요...,82.87% 확률로 긍정 리뷰입니다.
16,쏘쏘 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,97.34% 확률로 긍정 리뷰입니다.
